Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
510,Ishaan Gupta,Family Lawyer,Krishna & Saurastri Associates LLP,428,Domestic Partners,Non-Equity Partner,13,266,241,Bar Council of India,Experienced and skilled. Made me feel confident throughout. | Proficient in handling legal matters with great care. | Thorough and meticulous in every aspect of the case.,1177116,NB/AP/2011/89169
511,Divya Basu,Health Lawyer,AQUILAW,85,Insurance Companies,Independent Legal Consultant,6,176,159,Bar Council of India,Highly recommended for their expertise and professionalism. | Experienced and skilled. Made me feel confident throughout. | Empathetic and understanding. Made me feel valued.,164158,NB/TN/2018/73375
512,Simran Bhat,Corporate Lawyer,Saraf and Partners,475,Corporations,Legal Aid Lawyer,3,13,13,High Court,Misguided and failed to achieve the desired outcome. | Poor handling of legal documents and paperwork. | Failure to provide effective legal representation.,59719,NB/UP/2021/12461
513,Ravi Patel,Constitutional Lawyer,Milbank,457,Civil Rights Groups,Independent Legal Consultant,8,103,103,Supreme Court of India,"Unacceptable delays and lack of proper follow-up. | Felt like just another case, not a priority. | Lacked communication and updates during my case.",202839,NB/MN/2016/35688
514,Rashmi Sethi,Business Lawyer,Chadha & Co,161,Entrepreneurs,Senior Associate,4,58,53,Supreme Court of India,Empathetic and understanding. Made me feel valued. | Excellent communication and outstanding client care. | Committed and dedicated. Helped me navigate the legal system effectively.,81596,NB/UP/2020/53816
515,Rekha Singh,Intellectual Property Lawyer,freelancing,38,Inventors,Managing Associate,12,151,127,Supreme Court of India,Highly recommended for their expertise and professionalism. | Professional demeanor and exceptional legal expertise. | Empathetic and understanding. Made me feel valued.,294792,NB/TR/2012/58289
516,Rekha Kadam,Tax Lawyer,Law Offices of Panag & Babu,212,Corporations,Legal Aid Lawyer,1,16,14,High Court,Professional and reliable. Made the legal process smooth and manageable. | Professional approach and excellent outcome in my case. | Consistently high-quality service and reliable support.,42304,NB/KAR/2023/53469
517,Priya Yadav,Administrative Lawyer,DMD Advocates,188,Regulatory Bodies,Government Counsel,5,131,93,Bar Council of India,Knowledgeable and detail-oriented. Provided great support. | Committed and dedicated. Helped me navigate the legal system effectively. | Experienced and skilled. Made me feel confident throughout.,124117,NB/BCT/2019/63975
518,Naveen Rao,Environmental Lawyer,Anhad Law,46,Conservation Organizations,Junior Associate / Associate,2,20,15,District Court,Poor handling of legal documents and paperwork. | Disorganized and failed to meet case requirements. | Failure to provide effective legal representation.,76396,NB/KAR/2022/47971
519,Vikas Kadam,Immigration Lawyer,Milbank,435,Immigrants,Non-Equity Partner,12,218,161,District Court,Professional and reliable. Made the legal process smooth and manageable. | Supportive and empathetic. Always had my best interests in mind. | Committed and dedicated. Helped me navigate the legal system effectively.,1242132,NB/KL/2012/64324
520,Asha Kulkarni,Employment Lawyer,I.L.A. Pasrich & Company,156,HR Departments,Senior Associate,5,55,45,High Court,"Felt like just another case, not a priority. | Unorganized and frequently missed appointments. | Unacceptable delays and lack of proper follow-up.",123489,NB/RJ/2019/50640
521,Simran Gupta,Elder Lawyer,Fidus Law,181,Elder Advocacy Organizations,Counsel,9,202,166,Bar Council of India,Always available and attentive to my needs. | Experienced and skilled. Made me feel confident throughout. | Trustworthy and results-oriented. I felt well-represented.,256609,NB/CG/2015/66366
522,Ajay Joshi,Bankruptcy Lawyer,Agrud Partners,295,Individuals,Legal Aid Lawyer,1,15,10,Supreme Court of India,Provided vague advice and seemed disinterested. | Unacceptable level of service and attention. | Lack of professionalism and failed to keep me informed.,46860,NB/KL/2023/47698
523,Divya Bhat,Immigration Lawyer,White & Case LLP,23,Corporations,Managing Partner,21,435,330,High Court,"Excellent communication and outstanding client care. | Knowledgeable and detail-oriented. Provided great support. | Professional, reliable, and easy to work with. Satisfied client.",1049481,NB/HP/2003/23853
524,Neha Menon,Military Lawyer,Sagus Legal,133,Armed Forces,Senior Advocate,12,303,244,Supreme Court of India,Always available and attentive to my needs. | Trustworthy and results-oriented. I felt well-represented. | Thorough and meticulous in every aspect of the case.,830712,NB/KL/2012/51992
525,Ritika Iyer,Civil Lawyer,Juris Corp,112,Individuals,Managing Partner,18,523,501,District Court,"Supportive and empathetic. Always had my best interests in mind. | Professional, reliable, and easy to work with. Satisfied client. | Exceptional at handling complex legal issues.",3228601,NB/MN/2006/31617
526,Rajesh Shetty,Constitutional Lawyer,Solomon & Co. Advocates & Solicitors,444,Advocacy Organizations,Managing Associate,8,178,140,Bar Council of India,Did not provide adequate support or guidance. | Did not represent my interests effectively in court. | Unresponsive to critical client inquiries and concerns.,318117,NB/HP/2016/58603
527,Ritika Nair,Criminal Lawyer,Fox Mandal & Associates,59,Prosecutors,In-House Counsel,9,117,102,Supreme Court of India,"Professional, reliable, and easy to work with. Satisfied client. | Proactive and strategic in handling my legal issues. | Reliable and trustworthy. Delivered on their promises.",592396,NB/MP/2015/20300
528,Naveen Kadam,Bankruptcy Lawyer,Krishna & Saurastri Associates LLP,153,Businesses,Legal Aid Lawyer,3,14,12,High Court,Outstanding client service and thorough legal representation. | Exceptional negotiation skills. Secured a great deal for me. | Responsive and proactive. Addressed all my concerns promptly.,58543,NB/UK/2021/11271
529,Renu Shetty,Corporate Lawyer,Milbank,138,Startups,Senior Advocate,13,293,279,District Court,Proactive and strategic in handling my legal issues. | Proficient in handling legal matters with great care. | Great attention to detail and thorough in handling my case.,618913,NB/G/2011/55052
530,Rekha Rao,Environmental Lawyer,Sagus Legal,126,Advocacy Groups,Solicitor,10,137,117,High Court,"Felt like just another case, not a priority. | Ineffective communication and lack of detailed information. | Provided vague advice and seemed disinterested.",677547,NB/WB/2014/75232
531,Suman Kadam,Education Lawyer,"Chandhiok & Mahajan, Advocates and Solicitors",439,Educational Institutions,Junior Associate / Associate,1,28,20,Bar Council of India,Experienced and skilled. Made me feel confident throughout. | Thorough and meticulous in every aspect of the case. | Provided excellent counsel and achieved excellent results.,45183,NB/TS/2023/64921
532,Pratik Sharma,Education Lawyer,LexCounsel,173,Teachers,Independent Legal Consultant,7,159,117,Supreme Court of India,Knowledgeable and detail-oriented. Provided great support. | Effective and result-oriented. Highly satisfied with the service. | Dedicated and diligent. Always kept me informed.,300543,NB/TS/2017/76800
533,Meera Basu,Constitutional Lawyer,Fidus Law,317,Individuals,Of Counsel,15,298,264,District Court,Dedicated and diligent. Always kept me informed. | Supportive and empathetic. Always had my best interests in mind. | Exceptional at handling complex legal issues.,257671,NB/UK/2009/99013
534,Neha Chaudhary,Intellectual Property Lawyer,Ropes & Gray LLP,264,Companies,Legal Advisor,8,123,94,Supreme Court of India,Very knowledgeable in their field and easy to communicate with. | Efficient handling of my case with a favorable result. | Confident and competent. I felt secure with their representation.,522288,NB/KAR/2016/35971
535,Priya Basu,Personal Injury Lawyer,Luthra and Luthra Law Offices India,398,Victims of Malpractice,Managing Associate,10,164,140,High Court,Provided substandard legal service and advice. | Unreliable and frequently missed critical meetings. | Inconsistent with follow-ups and overall handling.,286461,NB/KAR/2014/34177
536,Ishaan Agarwal,Family Lawyer,Remfry & Sagar,271,Divorcing Couples,Counsel,10,246,208,Bar Council of India,"Professional and reliable. Made the legal process smooth and manageable. | Professional, reliable, and easy to work with. Satisfied client. | Always available and attentive to my needs.",228218,NB/UP/2014/52167
537,Anita Chaudhary,Employment Lawyer,Khaitan & Co.,221,HR Departments,Senior Advocate,15,310,303,Bar Council of India,"Felt like just another case, not a priority. | Not as knowledgeable as expected. Did not meet my expectations. | Failed to deliver on commitments and promises.",656066,NB/TS/2009/36045
538,Vikas Mehta,Environmental Lawyer,Mayer Brown,24,Conservation Organizations,Counsel,8,196,147,Supreme Court of India,Caring and attentive to my needs. Very pleased with the outcome. | Thorough and meticulous in every aspect of the case. | Great attention to detail and thorough in handling my case.,336692,NB/BCT/2016/69263
539,Priya Basu,Securities Lawyer,AKS Law Associates,149,Investors,Principal Associate,8,91,71,Supreme Court of India,Not very responsive. I had to chase for updates. | Poor attention to detail led to errors in my case. | Did not provide adequate representation and support.,185796,NB/BCT/2016/73815
540,Rashmi Chaudhary,Labor Lawyer,S&A Law Offices,424,Trade Organizations,Principal Associate,5,101,85,Supreme Court of India,Great support throughout the legal process. | Outstanding client service and thorough legal representation. | Great attention to detail and thorough in handling my case.,241047,NB/HP/2019/52339
541,Tanvi Bhat,Sports Lawyer,Krishna & Saurastri Associates LLP,245,Sports Organizations,Solicitor,7,125,91,Supreme Court of India,Experienced and skilled. Made me feel confident throughout. | Great support throughout the legal process. | Clear communication and prompt responses. Highly recommend.,463001,NB/MG/2017/54582
542,Anjali Gupta,Environmental Lawyer,Fidus Law,61,Government Agencies,Legal Advisor,8,150,113,District Court,Responsive and proactive. Addressed all my concerns promptly. | Knowledgeable and detail-oriented. Provided great support. | Clear communication and prompt responses. Highly recommend.,514896,NB/JK/2016/42383
543,Anita Rajput,Tax Lawyer,Royzz & Co. Attorneys at Law,115,Corporations,Counsel,9,182,129,Supreme Court of India,Unresponsive to critical client inquiries and concerns. | Failed to provide clear explanations and advice. | Felt my case was not handled with enough urgency.,399694,NB/TR/2015/93089
544,Deepak Iyer,Personal Injury Lawyer,India Law Offices,53,Victims of Malpractice,Junior Associate / Associate,0,27,26,High Court,Exceptional legal skills and always available to answer questions. | Proactive and strategic. Achieved a favorable outcome. | Great advocate. Got me the best possible result in my case.,75210,NB/MG/2024/61656
545,Simran Sharma,Employment Lawyer,I.L.A. Pasrich & Company,255,Employers,Non-Equity Partner,14,270,214,Supreme Court of India,Clear explanations and transparent throughout the process. | Clear communication and prompt responses. Highly recommend. | Very professional and handled my case with great expertise.,747378,NB/MN/2010/56955
546,Ayesha Sethi,Civil Rights Lawyer,"Chandhiok & Mahajan, Advocates and Solicitors",346,Advocacy Groups,Legal Aid Lawyer,1,18,15,District Court,Failure to meet deadlines and follow through on promises. | Mismanaged my case and provided inadequate support. | Did not provide adequate support or guidance.,48524,NB/UP/2023/79724
547,Neha Chopra,Tax Lawyer,Krishna & Saurastri Associates LLP,81,Taxpayers,Counsel,9,189,165,High Court,Dedicated and diligent. Always kept me informed. | Empathetic and understanding. Made me feel valued. | Exceptional legal skills and always available to answer questions.,295522,NB/G/2015/93745
